name,year,labor_force,employed,unemployed,unemployment_rate,fips
"Autauga County, AL",2021.0,26429.0,25698.0,731.0,2.8,01001
"Baldwin County, AL",2021.0,99520.0,96619.0,2901.0,2.9,01003
"Barbour County, AL",2021.0,8243.0,7787.0,456.0,5.5,01005
"Bibb County, AL",2021.0,8604.0,8312.0,292.0,3.4,01007
"Blount County, AL",2021.0,25268.0,24674.0,594.0,2.4,01009
"Bullock County, AL",2021.0,4617.0,4436.0,181.0,3.9,01011
"Butler County, AL",2021.0,8781.0,8332.0,449.0,5.1,01013
"Calhoun County, AL",2021.0,46166.0,44307.0,1859.0,4.0,01015
"Chambers County, AL",2021.0,15722.0,15155.0,567.0,3.6,01017
"Cherokee County, AL",2021.0,11635.0,11341.0,294.0,2.5,01019
"Chilton County, AL",2021.0,19918.0,19360.0,558.0,2.8,01021
"Choctaw County, AL",2021.0,4547.0,4351.0,196.0,4.3,01023
"Clarke County, AL",2021.0,7702.0,7255.0,447.0,5.8,01025
"Clay County, AL",2021.0,6021.0,5858.0,163.0,2.7,01027
"Cleburne County, AL",2021.0,5888.0,5737.0,151.0,2.6,01029
"Coffee County, AL",2021.0,21530.0,20927.0,603.0,2.8,01031
"Colbert County, AL",2021.0,23506.0,22592.0,914.0,3.9,01033
"Conecuh County, AL",2021.0,4371.0,4165.0,206.0,4.7,01035
"Coosa County, AL",2021.0,4352.0,4220.0,132.0,3.0,01037
"Covington County, AL",2021.0,15166.0,14711.0,455.0,3.0,01039
"Crenshaw County, AL",2021.0,6103.0,5903.0,200.0,3.3,01041
"Cullman County, AL",2021.0,38763.0,37857.0,906.0,2.3,01043
"Dale County, AL",2021.0,20883.0,20228.0,655.0,3.1,01045
"Dallas County, AL",2021.0,13902.0,12921.0,981.0,7.1,01047
"DeKalb County, AL",2021.0,30867.0,30085.0,782.0,2.5,01049
"Elmore County, AL",2021.0,37708.0,36702.0,1006.0,2.7,01051
"Escambia County, AL",2021.0,14081.0,13518.0,563.0,4.0,01053
"Etowah County, AL",2021.0,39267.0,37701.0,1566.0,4.0,01055
"Fayette County, AL",2021.0,6612.0,6411.0,201.0,3.0,01057
"Franklin County, AL",2021.0,14289.0,13930.0,359.0,2.5,01059
"Geneva County, AL",2021.0,11020.0,10715.0,305.0,2.8,01061
"Greene County, AL",2021.0,2888.0,2700.0,188.0,6.5,01063
"Hale County, AL",2021.0,5888.0,5566.0,322.0,5.5,01065
"Henry County, AL",2021.0,6899.0,6682.0,217.0,3.1,01067
"Houston County, AL",2021.0,46988.0,45422.0,1566.0,3.3,01069
"Jackson County, AL",2021.0,22972.0,22319.0,653.0,2.8,01071
"Jefferson County, AL",2021.0,318929.0,307640.0,11289.0,3.5,01073
"Lamar County, AL",2021.0,5682.0,5514.0,168.0,3.0,01075
"Lauderdale County, AL",2021.0,42181.0,40869.0,1312.0,3.1,01077
"Lawrence County, AL",2021.0,14441.0,14025.0,416.0,2.9,01079
"Lee County, AL",2021.0,76870.0,74721.0,2149.0,2.8,01081
"Limestone County, AL",2021.0,46779.0,45648.0,1131.0,2.4,01083
"Lowndes County, AL",2021.0,3570.0,3261.0,309.0,8.7,01085
"Macon County, AL",2021.0,7902.0,7446.0,456.0,5.8,01087
"Madison County, AL",2021.0,193037.0,188008.0,5029.0,2.6,01089
"Marengo County, AL",2021.0,7610.0,7292.0,318.0,4.2,01091
"Marion County, AL",2021.0,13430.0,13055.0,375.0,2.8,01093
"Marshall County, AL",2021.0,44704.0,43644.0,1060.0,2.4,01095
"Mobile County, AL",2021.0,189877.0,181128.0,8749.0,4.6,01097
"Monroe County, AL",2021.0,7336.0,6933.0,403.0,5.5,01099
"Montgomery County, AL",2021.0,106859.0,101883.0,4976.0,4.7,01101
"Morgan County, AL",2021.0,59526.0,58008.0,1518.0,2.6,01103
"Perry County, AL",2021.0,3192.0,2941.0,251.0,7.9,01105
"Pickens County, AL",2021.0,7513.0,7211.0,302.0,4.0,01107
"Pike County, AL",2021.0,16014.0,15508.0,506.0,3.2,01109
"Randolph County, AL",2021.0,9449.0,9192.0,257.0,2.7,01111
"Russell County, AL",2021.0,23339.0,22629.0,710.0,3.0,01113
"St. Clair County, AL",2021.0,41422.0,40350.0,1072.0,2.6,01115
"Shelby County, AL",2021.0,118888.0,116385.0,2503.0,2.1,01117
"Sumter County, AL",2021.0,4530.0,4331.0,199.0,4.4,01119
"Talladega County, AL",2021.0,35758.0,34312.0,1446.0,4.0,01121
"Tallapoosa County, AL",2021.0,17903.0,17197.0,706.0,3.9,01123
"Tuscaloosa County, AL",2021.0,101242.0,97672.0,3570.0,3.5,01125
"Walker County, AL",2021.0,25213.0,24318.0,895.0,3.5,01127
"Washington County, AL",2021.0,6518.0,6221.0,297.0,4.6,01129
"Wilcox County, AL",2021.0,2620.0,2346.0,274.0,10.5,01131
"Winston County, AL",2021.0,10072.0,9796.0,276.0,2.7,01133
"Aleutians East Borough, AK",2021.0,2433.0,2373.0,60.0,2.5,02013
"Aleutians West Census Area, AK",2021.0,3502.0,3368.0,134.0,3.8,02016
"Anchorage Borough/municipality, AK",2021.0,149263.0,140525.0,8738.0,5.9,02020
"Bethel Census Area, AK",2021.0,6848.0,5959.0,889.0,13.0,02050
"Bristol Bay Borough, AK",2021.0,444.0,419.0,25.0,5.6,02060
"Chugach Census Area, AK",2021.0,3165.0,3087.0,78.0,2.5,02063
"Copper River Census Area, AK",2021.0,1241.0,1200.0,41.0,3.3,02066
"Denali Borough, AK",2021.0,807.0,723.0,84.0,10.4,02068
"Dillingham Census Area, AK",2021.0,1680.0,1541.0,139.0,8.3,02070
"Fairbanks North Star Borough, AK",2021.0,44863.0,42563.0,2300.0,5.1,02090
"Haines Borough, AK",2021.0,1026.0,912.0,114.0,11.1,02100
"Hoonah-Angoon Census Area, AK",2021.0,1147.0,1041.0,106.0,9.2,02105
"Juneau Borough/city, AK",2021.0,16724.0,15927.0,797.0,4.8,02110
"Kenai Peninsula Borough, AK",2021.0,27646.0,25639.0,2007.0,7.3,02122
"Ketchikan Gateway Borough, AK",2021.0,6537.0,6058.0,479.0,7.3,02130
"Kodiak Island Borough, AK",2021.0,5947.0,5557.0,390.0,6.6,02150
"Kusilvak Census Area, AK",2021.0,2351.0,1895.0,456.0,19.4,02158
"Lake and Peninsula Borough, AK",2021.0,652.0,595.0,57.0,8.7,02164
"Matanuska-Susitna Borough, AK",2021.0,49168.0,45812.0,3356.0,6.8,02170
"Nome Census Area, AK",2021.0,4019.0,3630.0,389.0,9.7,02180
"North Slope Borough, AK",2021.0,2893.0,2706.0,187.0,6.5,02185
"Northwest Arctic Borough, AK",2021.0,2853.0,2527.0,326.0,11.4,02188
"Petersburg Borough, AK",2021.0,1600.0,1488.0,112.0,7.0,02195
"Prince of Wales-Hyder Census Area, AK",2021.0,2772.0,2547.0,225.0,8.1,02198
"Sitka Borough/city, AK",2021.0,4437.0,4234.0,203.0,4.6,02220
"Skagway Municipality, AK",2021.0,638.0,552.0,86.0,13.5,02230
"Southeast Fairbanks Census Area, AK",2021.0,3205.0,2993.0,212.0,6.6,02240
"Wrangell Borough/city, AK",2021.0,937.0,867.0,70.0,7.5,02275
"Yakutat Borough/city, AK",2021.0,310.0,288.0,22.0,7.1,02282
"Yukon-Koyukuk Census Area, AK",2021.0,2419.0,2123.0,296.0,12.2,02290
"Apache County, AZ",2021.0,18890.0,17159.0,1731.0,9.2,04001
"Cochise County, AZ",2021.0,48938.0,46465.0,2473.0,5.1,04003
"Coconino County, AZ",2021.0,71748.0,67327.0,4421.0,6.2,04005
"Gila County, AZ",2021.0,20410.0,19355.0,1055.0,5.2,04007
"Graham County, AZ",2021.0,15707.0,15030.0,677.0,4.3,04009
"Greenlee County, AZ",2021.0,4358.0,4177.0,181.0,4.2,04011
"La Paz County, AZ",2021.0,8609.0,8149.0,460.0,5.3,04012
"Maricopa County, AZ",2021.0,2317304.0,2210303.0,107001.0,4.6,04013
"Mohave County, AZ",2021.0,87286.0,82304.0,4982.0,5.7,04015
"Navajo County, AZ",2021.0,39362.0,36745.0,2617.0,6.6,04017
"Pima County, AZ",2021.0,482454.0,457762.0,24692.0,5.1,04019
"Pinal County, AZ",2021.0,192902.0,183440.0,9462.0,4.9,04021
"Santa Cruz County, AZ",2021.0,18888.0,17221.0,1667.0,8.8,04023
"Yavapai County, AZ",2021.0,105074.0,100533.0,4541.0,4.3,04025
"Yuma County, AZ",2021.0,93520.0,81293.0,12227.0,13.1,04027
"Arkansas County, AR",2021.0,9251.0,8934.0,317.0,3.4,05001
"Ashley County, AR",2021.0,6696.0,6208.0,488.0,7.3,05003
"Baxter County, AR",2021.0,16066.0,15453.0,613.0,3.8,05005
"Benton County, AR",2021.0,143812.0,139771.0,4041.0,2.8,05007
"Boone County, AR",2021.0,15589.0,15114.0,475.0,3.0,05009
"Bradley County, AR",2021.0,4029.0,3836.0,193.0,4.8,05011
"Calhoun County, AR",2021.0,2348.0,2268.0,80.0,3.4,05013
"Carroll County, AR",2021.0,12522.0,12089.0,433.0,3.5,05015
"Chicot County, AR",2021.0,3007.0,2750.0,257.0,8.5,05017
"Clark County, AR",2021.0,8674.0,8258.0,416.0,4.8,05019
"Clay County, AR",2021.0,5332.0,5117.0,215.0,4.0,05021
"Cleburne County, AR",2021.0,8863.0,8447.0,416.0,4.7,05023
"Cleveland County, AR",2021.0,3077.0,2952.0,125.0,4.1,05025
"Columbia County, AR",2021.0,8668.0,8200.0,468.0,5.4,05027
"Conway County, AR",2021.0,8198.0,7853.0,345.0,4.2,05029
"Craighead County, AR",2021.0,55855.0,54022.0,1833.0,3.3,05031
"Crawford County, AR",2021.0,25762.0,24830.0,932.0,3.6,05033
"Crittenden County, AR",2021.0,20182.0,19080.0,1102.0,5.5,05035
"Cross County, AR",2021.0,6908.0,6602.0,306.0,4.4,05037
"Dallas County, AR",2021.0,2731.0,2617.0,114.0,4.2,05039
"Desha County, AR",2021.0,4876.0,4584.0,292.0,6.0,05041
"Drew County, AR",2021.0,7395.0,7018.0,377.0,5.1,05043
"Faulkner County, AR",2021.0,61215.0,59082.0,2133.0,3.5,05045
"Franklin County, AR",2021.0,7205.0,6934.0,271.0,3.8,05047
"Fulton County, AR",2021.0,4859.0,4678.0,181.0,3.7,05049
"Garland County, AR",2021.0,41120.0,39100.0,2020.0,4.9,05051
"Grant County, AR",2021.0,8172.0,7908.0,264.0,3.2,05053
"Greene County, AR",2021.0,19102.0,18432.0,670.0,3.5,05055
"Hempstead County, AR",2021.0,9021.0,8697.0,324.0,3.6,05057
"Hot Spring County, AR",2021.0,13721.0,13184.0,537.0,3.9,05059
"Howard County, AR",2021.0,5402.0,5222.0,180.0,3.3,05061
"Independence County, AR",2021.0,16182.0,15545.0,637.0,3.9,05063
"Izard County, AR",2021.0,4364.0,4126.0,238.0,5.5,05065
"Jackson County, AR",2021.0,5512.0,5217.0,295.0,5.4,05067
"Jefferson County, AR",2021.0,25836.0,24153.0,1683.0,6.5,05069
"Johnson County, AR",2021.0,9694.0,9230.0,464.0,4.8,05071
"Lafayette County, AR",2021.0,2289.0,2156.0,133.0,5.8,05073
"Lawrence County, AR",2021.0,6637.0,6351.0,286.0,4.3,05075
"Lee County, AR",2021.0,2520.0,2377.0,143.0,5.7,05077
"Lincoln County, AR",2021.0,3691.0,3519.0,172.0,4.7,05079
"Little River County, AR",2021.0,5131.0,4895.0,236.0,4.6,05081
"Logan County, AR",2021.0,8259.0,7907.0,352.0,4.3,05083
"Lonoke County, AR",2021.0,33232.0,32116.0,1116.0,3.4,05085
"Madison County, AR",2021.0,7447.0,7214.0,233.0,3.1,05087
"Marion County, AR",2021.0,6012.0,5750.0,262.0,4.4,05089
"Miller County, AR",2021.0,18561.0,17645.0,916.0,4.9,05091
"Mississippi County, AR",2021.0,16060.0,14920.0,1140.0,7.1,05093
"Monroe County, AR",2021.0,2583.0,2443.0,140.0,5.4,05095
"Montgomery County, AR",2021.0,2852.0,2711.0,141.0,4.9,05097
"Nevada County, AR",2021.0,3315.0,3177.0,138.0,4.2,05099
"Newton County, AR",2021.0,3144.0,3045.0,99.0,3.1,05101
"Ouachita County, AR",2021.0,9543.0,9162.0,381.0,4.0,05103
"Perry County, AR",2021.0,4102.0,3932.0,170.0,4.1,05105
"Phillips County, AR",2021.0,5767.0,5324.0,443.0,7.7,05107
