,area_fips,own_code,industry_code,year,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,lq_disclosure_code,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_total_annual_wages,lq_taxable_annual_wages,lq_annual_contributions,lq_annual_avg_wkly_wage,lq_avg_annual_pay,oty_disclosure_code,oty_annual_avg_estabs_chg,oty_annual_avg_estabs_pct_chg,oty_annual_avg_emplvl_chg,oty_annual_avg_emplvl_pct_chg,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg,oty_taxable_annual_wages_pct_chg,oty_annual_contributions_chg,oty_annual_contributions_pct_chg,oty_annual_avg_wkly_wage_chg,oty_annual_avg_wkly_wage_pct_chg,oty_avg_annual_pay_chg,oty_avg_annual_pay_pct_chg
4,01001,2,1026,2020,1,0,0,0,0,0,0,N,12.35,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5,01001,3,1026,2020,1,0,0,0,0,0,0,N,2.47,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6,01001,5,1026,2020,89,1465,22425227,10935031,96349,294,15309,,1.15,1.47,1.29,1.48,1.27,0.88,0.88,,1,1.1,-114,-7.2,50970,0.2,-99292,-0.9,-563,-0.6,22,8.1,1139,8.0
7,01003,2,1026,2020,1,0,0,0,0,0,0,N,1.68,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
8,01003,3,1026,2020,1,0,0,0,0,0,0,N,0.34,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9,01003,5,1026,2020,770,14075,317288067,142584795,1486306,434,22542,,1.36,2.09,2.82,2.35,2.77,1.35,1.35,,23,3.1,-1838,-11.6,-20263480,-6.0,-7503328,-5.0,-303179,-16.9,26,6.4,1330,6.3
10,01005,3,1026,2020,1,0,0,0,0,0,0,N,3.97,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
11,01005,5,1026,2020,61,708,10418224,6117588,64798,283,14710,,1.27,0.97,0.87,1.01,1.05,0.9,0.9,,-2,-3.2,-54,-7.1,151369,1.5,100423,1.7,7105,12.3,24,9.3,1239,9.2
12,01007,5,1026,2020,17,163,2382755,1294087,9288,282,14663,,0.54,0.38,0.3,0.37,0.21,0.79,0.79,,-1,-5.6,-37,-18.5,-359721,-13.1,-212996,-14.1,-2508,-21.3,19,7.2,962,7.0
13,01009,5,1026,2020,61,773,11253096,6507330,53318,280,14561,,0.89,1.0,0.95,1.16,1.16,0.95,0.95,,5,8.9,-128,-14.2,-126031,-1.1,-84797,-1.3,-7396,-12.2,37,15.2,1935,15.3
14,01011,5,1026,2020,12,98,1750444,854979,14000,343,17816,,0.77,0.37,0.38,0.37,0.44,1.05,1.05,,0,0.0,-6,-5.8,14424,0.8,-40003,-4.5,-815,-5.5,21,6.5,1083,6.5
15,01013,3,1026,2020,1,0,0,0,0,0,0,N,4.59,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
16,01013,5,1026,2020,42,688,10475708,5754919,45201,293,15232,,1.01,1.17,1.15,1.13,0.81,0.99,0.99,,-4,-8.7,-127,-15.6,-1388289,-11.7,-832737,-12.6,-9591,-17.5,13,4.6,681,4.7
17,01015,1,1026,2020,3,21,545180,0,0,491,25555,,8.11,1.5,1.11,0.0,0.0,0.72,0.72,,1,50.0,-1,-4.5,113981,26.4,0,0.0,0,0.0,121,32.7,6319,32.8
18,01015,3,1026,2020,2,0,0,0,0,0,0,N,1.76,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
19,01015,5,1026,2020,258,4390,73594981,39888544,365111,322,16765,,1.19,1.11,1.06,1.42,1.53,0.95,0.95,,0,0.0,-701,-13.8,-6319196,-7.9,-3749313,-8.6,-56435,-13.4,20,6.6,1069,6.8
20,01017,3,1026,2020,12,43,1046439,0,0,474,24622,,42.56,2.21,2.32,0.0,0.0,1.06,1.06,,0,0.0,-1,-2.3,37486,3.7,0,0.0,0,0.0,31,7.0,1604,7.0
21,01017,5,1026,2020,62,778,11788935,6889990,67961,291,15151,,1.16,1.02,0.93,1.15,1.38,0.91,0.91,,-1,-1.6,-92,-10.6,-287922,-2.4,-191382,-2.7,2810,4.3,24,9.0,1266,9.1
22,01019,5,1026,2020,42,469,6490977,4059767,39115,266,13830,,1.18,1.03,0.96,1.1,1.04,0.94,0.94,,2,5.0,-41,-8.0,286445,4.6,182626,4.7,2139,5.8,32,13.7,1666,13.7
23,01021,5,1026,2020,62,855,13600413,7705966,53300,306,15907,,0.88,1.03,0.99,1.15,0.92,0.96,0.96,,3,5.1,-55,-6.0,-222537,-1.6,-177420,-2.3,-7420,-12.2,14,4.8,711,4.7
24,01023,5,1026,2020,21,146,1990077,1296889,18769,262,13638,,0.76,0.45,0.28,0.46,0.8,0.62,0.62,,0,0.0,-13,-8.2,-90928,-4.4,-35310,-2.7,7987,74.1,10,4.0,529,4.0
25,01025,3,1026,2020,2,0,0,0,0,0,0,N,6.64,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
26,01025,5,1026,2020,56,627,9314527,5568869,49168,286,14860,,0.98,0.87,0.74,0.96,0.96,0.85,0.85,,2,3.7,-40,-6.0,16848,0.2,105162,1.9,-4014,-7.5,18,6.7,915,6.6
27,01027,5,1026,2020,10,92,1415634,777426,5262,296,15387,,0.53,0.24,0.24,0.24,0.19,1.0,1.0,,-1,-9.1,-30,-24.6,-144701,-9.3,-112259,-12.6,-278,-5.0,50,20.3,2597,20.3
28,01029,3,1026,2020,4,27,574585,0,0,408,21215,,38.22,5.46,4.38,0.0,0.0,0.8,0.8,,0,0.0,0,0.0,-6782,-1.2,0,0.0,0,0.0,-9,-2.2,-451,-2.1
29,01029,5,1026,2020,12,121,2007589,1115892,7539,320,16626,,0.6,0.62,0.55,0.79,0.4,0.88,0.88,,1,9.1,-29,-19.3,-78451,-3.8,-92072,-7.6,-2043,-21.3,52,19.4,2680,19.2
30,01031,3,1026,2020,1,0,0,0,0,0,0,N,2.1,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
31,01031,5,1026,2020,107,1710,26719373,15143924,147320,301,15628,,1.18,1.17,1.19,1.18,1.37,1.02,1.02,,-3,-2.7,-112,-6.1,911181,3.5,-176704,-1.2,-4889,-3.2,29,10.7,1460,10.3
32,01033,2,1026,2020,1,0,0,0,0,0,0,N,8.19,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
33,01033,3,1026,2020,1,0,0,0,0,0,0,N,1.64,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
34,01033,5,1026,2020,130,1732,27794972,15061045,133453,309,16048,,1.12,0.81,0.67,0.84,0.62,0.83,0.83,,5,4.0,-279,-13.9,-1628151,-5.5,-1302741,-8.0,-2600,-1.9,28,10.0,1413,9.7
35,01035,5,1026,2020,20,224,3329338,2021675,19725,286,14863,,0.93,0.74,0.69,0.83,0.76,0.93,0.93,,-1,-4.8,-91,-28.9,-736730,-18.1,-502745,-19.9,-1751,-8.2,38,15.3,1965,15.2
36,01037,3,1026,2020,1,0,0,0,0,0,0,N,16.27,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
37,01037,5,1026,2020,5,61,2030984,522150,6626,644,33478,,0.43,0.51,1.05,0.59,0.88,2.08,2.08,,0,0.0,-6,-9.0,-26758,-1.3,-47801,-8.4,-1479,-18.2,51,8.6,2650,8.6
38,01039,3,1026,2020,1,0,0,0,0,0,0,N,2.44,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
39,01039,5,1026,2020,74,946,14777238,8320804,85025,301,15629,,0.95,0.89,0.87,0.98,0.75,0.98,0.98,,3,4.2,-77,-7.5,-294217,-2.0,29527,0.4,11166,15.1,18,6.4,902,6.1
40,01041,5,1026,2020,16,180,2429785,1511203,11544,259,13474,,0.68,0.57,0.48,0.54,0.33,0.83,0.84,,1,6.7,-14,-7.2,-18816,-0.8,-33971,-2.2,135,1.2,16,6.6,836,6.6
41,01043,5,1026,2020,167,2826,48720316,25649798,211476,332,17242,,1.05,1.09,1.09,1.12,1.14,1.0,1.0,,-1,-0.6,-239,-7.8,-961780,-1.9,-407611,-1.6,-10588,-4.8,20,6.4,1034,6.4
42,01045,1,1026,2020,6,198,4355644,0,0,424,22035,,46.49,35.85,17.0,0.0,0.0,0.48,0.48,,0,0.0,-34,-14.7,-838963,-16.2,0,0.0,0,0.0,-7,-1.6,-372,-1.7
43,01045,3,1026,2020,1,0,0,0,0,0,0,N,2.52,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
44,01045,5,1026,2020,85,1101,17739917,9083806,97441,310,16116,,1.13,0.71,0.49,0.88,1.12,0.7,0.7,,2,2.4,-111,-9.2,-906175,-4.9,-655879,-6.7,-7008,-6.7,14,4.7,731,4.8
45,01047,2,1026,2020,1,0,0,0,0,0,0,N,13.09,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
46,01047,3,1026,2020,9,36,689123,0,0,370,19231,,23.52,1.35,1.08,0.0,0.0,0.8,0.8,,-2,-18.2,-5,-12.2,-79441,-10.3,0,0.0,0,0.0,5,1.4,254,1.3
47,01047,5,1026,2020,58,823,11908889,6939159,78573,278,14466,,0.8,0.79,0.66,0.83,0.78,0.84,0.84,,1,1.8,-113,-12.1,-496054,-4.0,-433549,-5.9,-6172,-7.3,23,9.0,1219,9.2
48,01049,5,1026,2020,116,1678,29195669,15288120,119579,335,17403,,1.1,0.85,0.89,0.87,0.76,1.05,1.05,,5,4.5,-256,-13.2,-2370536,-7.5,-1557292,-9.2,-39531,-24.8,21,6.7,1084,6.6
49,01051,2,1026,2020,1,0,0,0,0,0,0,N,7.76,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
50,01051,3,1026,2020,3,0,0,0,0,0,0,N,4.65,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
51,01051,5,1026,2020,169,2996,50312770,25858477,227052,323,16793,,1.38,1.69,1.85,1.88,1.99,1.1,1.1,,5,3.0,-270,-8.3,-2029843,-3.9,-523859,-2.0,16044,7.6,15,4.9,767,4.8
52,01053,3,1026,2020,2,0,0,0,0,0,0,N,5.37,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
53,01053,5,1026,2020,73,1097,16352431,9454037,75081,287,14908,,1.03,0.97,0.83,1.05,0.96,0.85,0.85,,-2,-2.7,-148,-11.9,-1628731,-9.1,-1001252,-9.6,-20234,-21.2,9,3.2,467,3.2
