,area_fips,own_code,industry_code,year,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,lq_disclosure_code,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_total_annual_wages,lq_taxable_annual_wages,lq_annual_contributions,lq_annual_avg_wkly_wage,lq_avg_annual_pay,oty_disclosure_code,oty_annual_avg_estabs_chg,oty_annual_avg_estabs_pct_chg,oty_annual_avg_emplvl_chg,oty_annual_avg_emplvl_pct_chg,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg,oty_taxable_annual_wages_pct_chg,oty_annual_contributions_chg,oty_annual_contributions_pct_chg,oty_annual_avg_wkly_wage_chg,oty_annual_avg_wkly_wage_pct_chg,oty_avg_annual_pay_chg,oty_avg_annual_pay_pct_chg
3941,US000,1,1011,2020,75,3665,278080162,0,0,1459,75885,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,-2,-2.6,-21,-0.6,22254175,8.7,0,0.0,0,0.0,124,9.3,6487,9.3
3942,US000,2,1011,2020,140,2016,90001076,191980,2522,859,44645,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,0.0,-120,-5.6,2032213,2.3,11106,6.1,-183,-6.8,67,8.5,3463,8.4
3943,US000,3,1011,2020,71,1248,61338566,14571364,219006,945,49159,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2,2.9,-42,-3.3,2509369,4.3,1007051,7.4,-4148,-1.9,68,7.8,3549,7.8
3944,US000,5,1011,2020,140624,1781459,108957042156,32292494033,763045908,1176,61162,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1001,0.7,-156795,-8.1,-10947909416,-9.1,-1486752131,-4.4,-140880259,-15.6,-14,-1.2,-700,-1.1
6381,US000,1,1012,2020,1,4,638243,0,0,2779,144508,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,-2,-66.7,-4,-50.0,14473,2.3,0,0.0,0,0.0,1180,73.8,61339,73.8
6382,US000,2,1012,2020,1722,72446,4091143089,247510296,579511,1086,56471,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,-7,-0.4,-347,-0.5,74034577,1.8,-5228745,-2.1,-324469,-35.9,25,2.4,1286,2.3
6383,US000,3,1012,2020,4279,104692,5909659823,216132845,2132101,1086,56448,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,-21,-0.5,-1823,-1.7,147865223,2.6,-4370266,-2.0,8019,0.4,46,4.4,2354,4.4
6384,US000,5,1012,2020,847018,7203279,485194830632,130589181987,3845695780,1295,67357,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,16398,2.0,-248197,-3.3,2147067831,0.4,-2296218709,-1.7,-407352092,-9.6,48,3.8,2531,3.9
3809,US000,1,1013,2020,47,50949,4443258484,0,0,1677,87211,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,0,0.0,951,1.9,190041562,4.5,0,0.0,0,0.0,41,2.5,2143,2.5
3810,US000,2,1013,2020,24,632,39374154,0,0,1198,62317,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,1,4.3,-17,-2.6,1430847,3.8,0,0.0,0,0.0,74,6.6,3868,6.6
3811,US000,3,1013,2020,39,1320,74081071,14838231,398694,1079,56108,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,-2,-4.9,-218,-14.2,-2573520,-3.4,-1481643,-9.1,-15038,-3.6,121,12.6,6268,12.6
3812,US000,5,1013,2020,358272,12083479,886889411296,192757984704,3405474759,1411,73397,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,3253,0.9,-692678,-5.4,-6414891934,-0.7,-5655547390,-2.9,-495275457,-12.7,66,4.9,3477,5.0
10014,US000,1,1021,2020,30280,670382,43567223478,0,0,1250,64989,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,115,0.4,-5632,-0.8,1344650180,3.2,0,0.0,0,0.0,49,4.1,2531,4.1
10015,US000,2,1021,2020,978,57134,3888357316,65299827,349068,1309,68057,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,0.0,-1425,-2.4,-40294949,-1.0,-1647337,-2.5,-51845,-12.9,19,1.5,968,1.4
10016,US000,3,1021,2020,12002,545050,38813844926,1217193123,10163826,1369,71211,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2,0.0,-3542,-0.6,996178989,2.6,5412452,0.4,-256429,-2.5,43,3.2,2275,3.3
10017,US000,5,1021,2020,1948303,26469950,1386553492855,388455944305,5518592127,1007,52382,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,8300,0.4,-1057338,-3.8,29509507279,2.2,3470278584,0.9,-416290870,-7.0,59,6.2,3084,6.3
5909,US000,1,1022,2020,128,6640,556193777,0,0,1611,83763,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,2,1.6,67,1.0,20354320,3.8,0,0.0,0,0.0,43,2.7,2240,2.7
5910,US000,2,1022,2020,322,6131,319588379,4685464,20408,1002,52129,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,0.0,-254,-4.0,7345804,2.4,-1048137,-18.3,-2365,-10.4,62,6.6,3224,6.6
5911,US000,3,1022,2020,5128,122424,4529647764,239023592,1443004,712,37000,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,17,0.3,-9642,-7.3,45940701,1.0,-1984566,-0.8,-43137,-2.9,59,9.0,3049,9.0
5912,US000,5,1022,2020,198794,2709771,369407627013,47191896711,942018659,2622,136324,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,14092,7.6,-139414,-4.9,28631622268,8.4,-1126045600,-2.3,-98926435,-9.5,322,14.0,16719,14.0
5546,US000,1,1023,2020,773,12095,1511627996,0,0,2403,124979,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,-14,-1.8,74,0.6,59205162,4.1,0,0.0,0,0.0,80,3.4,4159,3.4
5547,US000,2,1023,2020,116,12458,953717429,29677019,233951,1472,76558,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2,1.8,177,1.4,49863588,5.5,818119,2.8,-44242,-15.9,57,4.0,2958,4.0
